"","ID","C_QuestionNum","C_Environment","C_Condition","C_Cycle","C_Trial","C_Question","C_Answer","C_AssignedWait","C_Response","C_QPresent","C_StartRT","C_WaitStart","C_WaitTime","C_TrialLength","C_CycleLength","C_Jitter","C_AverageWait","MC_Correct","Curiosity","CurSD","CurZ","Observed","UD_NWait","UD_NWaitZ","HT_NWait","HT_NWaitZ"
"1",3,973,0,1,1,1,"Who won the Nobel Peace Prize in 1964? ","Martin Luther King Jr. ",18.132,"W",0.2,2.256,2.786,18.153,24.941,615.7418702,1.159355877,8.615612903,0,55.5116279069767,31.9034048735385,-0.776096686270395,0,48,0.549610182797086,33,0.401989335183312
"2",3,14,0,1,1,2,"A conference on safety held at Columbia University's Teacher College in 1939 led to what change? ","School buses were painted yellow",7.087,"W",26.378,5.143,5.673,7.108,16.783,615.7418702,2.868895458,8.615612903,1,54.8409090909091,32.2943894485096,-0.866743945094127,0,48,0.549610182797086,33,0.401989335183312
"3",3,962,0,1,1,3,"Who was the last British Monarch to also be an emperor?  ","George VI",2.448,"W",46.068,4.38,4.905,2.469,11.375,615.7418702,1.13416208,8.615612903,0,53.5581395348837,33.6348050498583,-1.04010950629604,0,48,0.549610182797086,33,0.401989335183312
"4",3,753,0,1,1,4,"What was the only children's story ever published by James Bond creator Ian Fleming? ","Chitty Chitty Bang Bang ",11.265,"W",58.615,6.04,6.573,11.279,21.853,615.7418702,1.498203486,8.615612903,1,68.6216216216216,31.6924030077937,0.995711357518188,0,48,0.549610182797086,33,0.401989335183312
"5",3,231,0,1,1,5,"The Admiral is which type of insect? ","Butterfly",15.335,"W",82.007,4.953,5.489,15.35,24.841,615.7418702,1.515960682,8.615612903,1,54.8222222222222,29.7728437039901,-0.869269464554574,0,48,0.549610182797086,33,0.401989335183312
"6",3,500,0,1,1,6,"What is called the ""bark lion sentinel dog"" in its native Tibet?  ","Lhasa Apso",7.091,"W",108.403,5.452,5.99,7.108,17.098,615.7418702,1.403853488,8.615612903,0,53.5681818181818,34.0699674932253,-1.03875229753508,0,48,0.549610182797086,33,0.401989335183312
"7",3,857,0,1,1,7,"Which country has the most public libraries?  ","Russia",2.293,"W",126.94,3.739,4.272,2.302,10.574,615.7418702,2.624281326,8.615612903,1,72.425,30.0502890467774,1.50973573854093,0,48,0.549610182797086,33,0.401989335183312
"8",3,364,0,1,1,9,"What bulb vegetable is traditionally worn on Saint David's Day, as it is a national symbol of Wales?","The Leek ",19.344,"W",147.329,5.51,6.04,19.354,29.395,615.7418702,2.636001725,8.615612903,1,59.6190476190476,30.7023097414688,-0.220981295411481,0,48,0.549610182797086,33,0.401989335183312
"9",3,60,0,1,1,10,"Challenger Astronaut Bruce McCandless II became Earth's first human to ever do what?","Untethered space walk",1.872,"W",179.397,4.586,5.122,1.886,11.01,615.7418702,1.224821949,8.615612903,1,64.875,26.5901345692393,0.489357619239437,0,48,0.549610182797086,33,0.401989335183312
"10",3,890,0,1,1,11,"Which popular treat was invented by an 11-year-old in California? ","The popsicle",10.908,"W",191.661,3.642,4.172,10.928,19.101,615.7418702,2.995231189,8.615612903,1,78.9230769230769,27.9269579395445,2.38794706434831,0,48,0.549610182797086,33,0.401989335183312
